deveui,name,description,application,deviceprofile,payloadcodec,fport,appkey,devaddr,nwkskey,appskey
24e1247151234589,WT201-34,24e1247151234589,test,ClassC-OTAA,WT201,1,b38230a1a0363a65d5b933794beb2790,,,
24e124715123458a,WT201-35,24e124715123458a,test,ClassC-OTAA,WT201,1,f763d0d8e164f9006aa308d61be89899,,,
24e124715123458b,WT201-36,24e124715123458b,test,ClassC-OTAA,WT201,1,f29089cba725406c2fe033aea88f689b,,,
24e124715123458c,WT201-37,24e124715123458c,test,ClassC-OTAA,WT201,1,803b84e2f9c2d791fca81860c8815acd,,,
24e124715123458d,WT201-38,24e124715123458d,test,ClassC-OTAA,WT201,1,108dbedd0cd3cf7a37d8142ce9e695e2,,,
24e124715123458e,WT201-39,24e124715123458e,test,ClassC-OTAA,WT201,1,349749833357388506d36da13e0b861b,,,
24e124715123458f,WT201-40,24e124715123458f,test,ClassC-OTAA,WT201,1,44b2118c18a0b68c8a0b5f7d2ce7128c,,,
24e1247151234590,WT201-41,24e1247151234590,test,ClassC-OTAA,WT201,1,60628fecc0c7405c03364d4f7a315dd6,,,
24e1247151234591,WT201-42,24e1247151234591,test,ClassC-OTAA,WT201,1,8644b65eee1c3bf0a9f49079755ab6f8,,,
24e1247151234592,WT201-43,24e1247151234592,test,ClassC-OTAA,WT201,1,503bdfbb50a7be688fe9b3e29c1d3f04,,,
24e1247151234593,WT201-44,24e1247151234593,test,ClassC-OTAA,WT201,1,1ae6167936fba380cd97116420500d20,,,
24e1247151234594,WT201-45,24e1247151234594,test,ClassC-OTAA,WT201,1,808293d9aa63a6ab28fc98fdbde39424,,,
24e1247151234595,WT201-46,24e1247151234595,test,ClassC-OTAA,WT201,1,3b7f5d1a10bc5958ca03898a16e4acb0,,,
24e1247151234596,WT201-47,24e1247151234596,test,ClassC-OTAA,WT201,1,42c89b1b8ceb0a46a346f9f6498d4d94,,,
24e1247151234597,WT201-48,24e1247151234597,test,ClassC-OTAA,WT201,1,d1e0aca9fecbc963c99c19f8277439b1,,,
24e1247151234598,WT201-49,24e1247151234598,test,ClassC-OTAA,WT201,1,39765c1da8ff6ff54207b9d8b5f7cebb,,,
24e1247151234599,WT201-50,24e1247151234599,test,ClassC-OTAA,WT201,1,888ef6293e2e3a7949c0adb4a902dc74,,,
24e124715123459a,WT201-51,24e124715123459a,test,ClassC-OTAA,WT201,1,bb3a8441f41f0dfd96d059f4835d8288,,,
24e124715123459b,WT201-52,24e124715123459b,test,ClassC-OTAA,WT201,1,4bbd78e8222ff13c3c944608fff37b01,,,
24e124715123459c,WT201-53,24e124715123459c,test,ClassC-OTAA,WT201,1,41b9ed028883f9151c46b26bb03766d8,,,
24e124715123459d,WT201-54,24e124715123459d,test,ClassC-OTAA,WT201,1,213226a50dd2f281e5fa0f99f70da088,,,
24e124715123459e,WT201-55,24e124715123459e,test,ClassC-OTAA,WT201,1,5b88c7b417317d59f8411b6fb36e27f8,,,
24e124715123459f,WT201-56,24e124715123459f,test,ClassC-OTAA,WT201,1,9cc55b249c8b8e9a4d4b24e12d57995a,,,
24e12471512345a0,WT201-57,24e12471512345a0,test,ClassC-OTAA,WT201,1,8c9d31d9e384c799146010a253d84a5d,,,
24e12471512345a1,WT201-58,24e12471512345a1,test,ClassC-OTAA,WT201,1,47dfb8daf7d422dadfd4fecb5209ad43,,,
24e12471512345a2,WT201-59,24e12471512345a2,test,ClassC-OTAA,WT201,1,f2bec64e93cda99bae2164c007ff5983,,,
24e12471512345a3,WT201-60,24e12471512345a3,test,ClassC-OTAA,WT201,1,d22c69bf39f05b29a3f93ca95bb05209,,,
24e12471512345a4,WT201-61,24e12471512345a4,test,ClassC-OTAA,WT201,1,0336bfa91d0f02575cc8af291e6260d5,,,
24e12471512345a5,WT201-62,24e12471512345a5,test,ClassC-OTAA,WT201,1,10a4c1d4b41df87190bce820dc5cf303,,,
24e12471512345a6,WT201-63,24e12471512345a6,test,ClassC-OTAA,WT201,1,54eecb41425883d52ed68073590e3818,,,
24e12471512345a7,WT201-64,24e12471512345a7,test,ClassC-OTAA,WT201,1,db0957433c327bbc695eb1216f49746e,,,
24e12471512345a8,WT201-65,24e12471512345a8,test,ClassC-OTAA,WT201,1,c4efca7b8c33f5ff198d999981641f64,,,
24e12471512345a9,WT201-66,24e12471512345a9,test,ClassC-OTAA,WT201,1,94b095a91a909c7cacb251dd4c0a090d,,,
24e12471512345aa,WT201-67,24e12471512345aa,test,ClassC-OTAA,WT201,1,6f2d9e1d3971aaedd808a97a25fda7f8,,,
24e12471512345ab,WT201-68,24e12471512345ab,test,ClassC-OTAA,WT201,1,9dee7dccaebb6e7621078d5f87590429,,,
24e12471512345ac,WT201-69,24e12471512345ac,test,ClassC-OTAA,WT201,1,361a6511d48f2eee8e617836b91c789e,,,
24e12471512345ad,WT201-70,24e12471512345ad,test,ClassC-OTAA,WT201,1,c77545f1be85c1911d48bcbab432d963,,,
24e12471512345ae,WT201-71,24e12471512345ae,test,ClassC-OTAA,WT201,1,23cc9eb889390e3fbb1778e6e7c20217,,,
24e12471512345af,WT201-72,24e12471512345af,test,ClassC-OTAA,WT201,1,d6057bdeac62239386a37044433a0d7b,,,
24e12471512345b0,WT201-73,24e12471512345b0,test,ClassC-OTAA,WT201,1,981fb0c9a2c618a2d427afead965650d,,,
24e12471512345b1,WT201-74,24e12471512345b1,test,ClassC-OTAA,WT201,1,f3d67c999e36334275c926be2d6b03ea,,,
24e12471512345b2,WT201-75,24e12471512345b2,test,ClassC-OTAA,WT201,1,08ae58de2ce944bdea758b7ac0f8605e,,,
24e12471512345b3,WT201-76,24e12471512345b3,test,ClassC-OTAA,WT201,1,6b9a4e5fa7927e3b019ea7c813db965d,,,
24e12471512345b4,WT201-77,24e12471512345b4,test,ClassC-OTAA,WT201,1,b2a1db597b321b93b58baaef82502ded,,,
24e12471512345b5,WT201-78,24e12471512345b5,test,ClassC-OTAA,WT201,1,a8ae63a8b388f90c2c15f58a494f6f49,,,
24e12471512345b6,WT201-79,24e12471512345b6,test,ClassC-OTAA,WT201,1,ab8d00162c3bf5a508fb91187f487065,,,
24e12471512345b7,WT201-80,24e12471512345b7,test,ClassC-OTAA,WT201,1,c887817bd75f08257b4708ace03476df,,,
24e12471512345b8,WT201-81,24e12471512345b8,test,ClassC-OTAA,WT201,1,2ddb8de76d409dcbf656dcbd5280374f,,,
24e12471512345b9,WT201-82,24e12471512345b9,test,ClassC-OTAA,WT201,1,d19397ded216374cfce34c734ddad460,,,
24e12471512345ba,WT201-83,24e12471512345ba,test,ClassC-OTAA,WT201,1,81ab7a072b614d12ba4045fb38cecde9,,,
24e12471512345bb,WT201-84,24e12471512345bb,test,ClassC-OTAA,WT201,1,11e6eddc42526f20623cec4e88521ec3,,,
24e12471512345bc,WT201-85,24e12471512345bc,test,ClassC-OTAA,WT201,1,ee415c35c885c42174831ea97f987ad8,,,
24e12471512345bd,WT201-86,24e12471512345bd,test,ClassC-OTAA,WT201,1,70b0b97eb15a1ab3b7abd8ce726edb5c,,,
24e12471512345be,WT201-87,24e12471512345be,test,ClassC-OTAA,WT201,1,18797e21cbaeb1ff9600b0db56f5694f,,,
24e12471512345bf,WT201-88,24e12471512345bf,test,ClassC-OTAA,WT201,1,b8956637e8eef2e9257b3060ce0107bf,,,
24e12471512345c0,WT201-89,24e12471512345c0,test,ClassC-OTAA,WT201,1,52eb36984f774b61d46ddb3eb837ae84,,,
24e12471512345c1,WT201-90,24e12471512345c1,test,ClassC-OTAA,WT201,1,8bf3ad46316eb559312464141f3afaf2,,,
24e12471512345c2,WT201-91,24e12471512345c2,test,ClassC-OTAA,WT201,1,f6bf916cd40a0a9b2ef2aaf9afb7fdac,,,
24e12471512345c3,WT201-92,24e12471512345c3,test,ClassC-OTAA,WT201,1,27a47a98cd67683f382b787b90863af2,,,
24e12471512345c4,WT201-93,24e12471512345c4,test,ClassC-OTAA,WT201,1,96a48a817c50cd804ff290017a0be58e,,,
24e12471512345c5,WT201-94,24e12471512345c5,test,ClassC-OTAA,WT201,1,00eb99345bdfdbede7bad0fba5fb4055,,,
24e12471512345c6,WT201-95,24e12471512345c6,test,ClassC-OTAA,WT201,1,634c30e01967a85268e10325f15fa846,,,
24e12471512345c7,WT201-96,24e12471512345c7,test,ClassC-OTAA,WT201,1,8bc40682f565725c34468a2eadcd0db8,,,
24e12471512345c8,WT201-97,24e12471512345c8,test,ClassC-OTAA,WT201,1,22fa9f616297199fa214b1dbdc290a48,,,
24e12471512345c9,WT201-98,24e12471512345c9,test,ClassC-OTAA,WT201,1,b13c68dca22187250e8a5de0396fc3c9,,,
24e12471512345ca,WT201-99,24e12471512345ca,test,ClassC-OTAA,WT201,1,9feee0d4cbeac53915981cef94fa3524,,,
24e12471512345cb,WT201-100,24e12471512345cb,test,ClassC-OTAA,WT201,1,2289169c8292a2bc9aed112e8dad9349,,,
24e12471512345cc,WT201-101,24e12471512345cc,test,ClassC-OTAA,WT201,1,413c63ed019547cae37078f0b1038575,,,
24e12471512345cd,WT201-102,24e12471512345cd,test,ClassC-OTAA,WT201,1,7e695935e407f784a392434757e0a851,,,
24e12471512345ce,WT201-103,24e12471512345ce,test,ClassC-OTAA,WT201,1,a6b3dd8367e8e9933cad757d12106529,,,
24e12471512345cf,WT201-104,24e12471512345cf,test,ClassC-OTAA,WT201,1,59c2df1a873a1197ed9b9f003870e59c,,,
24e12471512345d0,WT201-105,24e12471512345d0,test,ClassC-OTAA,WT201,1,656bd85fcda895b14b92e424dc809b73,,,
24e12471512345d1,WT201-106,24e12471512345d1,test,ClassC-OTAA,WT201,1,729b70cdaff075443827671de6bf73da,,,
24e12471512345d2,WT201-107,24e12471512345d2,test,ClassC-OTAA,WT201,1,66ce2a2559b1972164b35a1cac68b29a,,,
24e12471512345d3,WT201-108,24e12471512345d3,test,ClassC-OTAA,WT201,1,d3f26fdb0995df3a324fa6ba1ef1e4e8,,,
24e12471512345d4,WT201-109,24e12471512345d4,test,ClassC-OTAA,WT201,1,1de5d87989f9dc4bc9039cf3e253e0a7,,,
24e12471512345d5,WT201-110,24e12471512345d5,test,ClassC-OTAA,WT201,1,b787b72f944304c91d6d1f51c5c5091d,,,
24e12471512345d6,WT201-111,24e12471512345d6,test,ClassC-OTAA,WT201,1,3615c15a8c423c4b2f6af8a681070e53,,,
24e12471512345d7,WT201-112,24e12471512345d7,test,ClassC-OTAA,WT201,1,295838724a2bfde3c404131b72924941,,,
24e12471512345d8,WT201-113,24e12471512345d8,test,ClassC-OTAA,WT201,1,da774d2fb83e3b1d3ae57e0b1930c675,,,
24e12471512345d9,WT201-114,24e12471512345d9,test,ClassC-OTAA,WT201,1,46909d557bfd6447046727292dc1ee0a,,,
24e12471512345da,WT201-115,24e12471512345da,test,ClassC-OTAA,WT201,1,7a598af42622c0b27398f8efd5003d6c,,,
24e12471512345db,WT201-116,24e12471512345db,test,ClassC-OTAA,WT201,1,2fee65bd0c9568a42c3ecf7880f88d40,,,
24e12471512345dc,WT201-117,24e12471512345dc,test,ClassC-OTAA,WT201,1,65ad58bbf432dd0380dee8768d78ba3a,,,
24e12471512345dd,WT201-118,24e12471512345dd,test,ClassC-OTAA,WT201,1,fefb9440b88c307605664096e5c09e38,,,
24e12471512345de,WT201-119,24e12471512345de,test,ClassC-OTAA,WT201,1,13cbe1612251a3ef34aa3a2c0ffe9510,,,
24e12471512345df,WT201-120,24e12471512345df,test,ClassC-OTAA,WT201,1,c2838376562c91abfb2b52ca3ed21919,,,
24e12471512345e0,WT201-121,24e12471512345e0,test,ClassC-OTAA,WT201,1,14cd0b466081b0e97a496db05b05859c,,,
24e12471512345e1,WT201-122,24e12471512345e1,test,ClassC-OTAA,WT201,1,8d626add0f2b325aa9447d7e42ced228,,,
24e12471512345e2,WT201-123,24e12471512345e2,test,ClassC-OTAA,WT201,1,9ab0a31fa9ac51b8298c5d3a3a852dca,,,
24e12471512345e3,WT201-124,24e12471512345e3,test,ClassC-OTAA,WT201,1,0c77edc6edfebcec7550dfacc65f9f7e,,,
24e12471512345e4,WT201-125,24e12471512345e4,test,ClassC-OTAA,WT201,1,995cd0e4a1d8f2ed5cbd91bd0e9e4c0a,,,
24e12471512345e5,WT201-126,24e12471512345e5,test,ClassC-OTAA,WT201,1,597dfde5eb387c85d7e9a942ea8cab0a,,,
24e12471512345e6,WT201-127,24e12471512345e6,test,ClassC-OTAA,WT201,1,b173eb3d8b032e5944ac910af3042f20,,,
24e12471512345e7,WT201-128,24e12471512345e7,test,ClassC-OTAA,WT201,1,454dfd81f9ed9131bf0b3cfd759ab918,,,
24e12471512345e8,WT201-129,24e12471512345e8,test,ClassC-OTAA,WT201,1,1cc1dee05014e61bb6939c893d9e137e,,,
24e12471512345e9,WT201-130,24e12471512345e9,test,ClassC-OTAA,WT201,1,31a9cddb30b41da68f360c7d06b12881,,,
24e12471512345ea,WT201-131,24e12471512345ea,test,ClassC-OTAA,WT201,1,c857cc2be36b01d850181f855be46d98,,,
24e12471512345eb,WT201-132,24e12471512345eb,test,ClassC-OTAA,WT201,1,d2ae3199bfbe1bcb4ec679ff79a0e2bc,,,
24e12471512345ec,WT201-133,24e12471512345ec,test,ClassC-OTAA,WT201,1,25148ce12d84c1d9c05589061a648c50,,,
24e12471512345ed,WT201-134,24e12471512345ed,test,ClassC-OTAA,WT201,1,ec6254a98b7fdc39496e806b4af9016c,,,
24e12471512345ee,WT201-135,24e12471512345ee,test,ClassC-OTAA,WT201,1,d590006efd0173bbfdbf8e01f14ac19d,,,
24e12471512345ef,WT201-136,24e12471512345ef,test,ClassC-OTAA,WT201,1,251622dff25ebfdce905ad9fa19fe127,,,
24e12471512345f0,WT201-137,24e12471512345f0,test,ClassC-OTAA,WT201,1,9dd090a6e4ea9b15bc8820c11b5cfa3b,,,
24e12471512345f1,WT201-138,24e12471512345f1,test,ClassC-OTAA,WT201,1,a20ccf4380661fcaf8143d7d58c9a643,,,
24e12471512345f2,WT201-139,24e12471512345f2,test,ClassC-OTAA,WT201,1,3d625bd4ecf97b138720db499c2abfd1,,,
24e12471512345f3,WT201-140,24e12471512345f3,test,ClassC-OTAA,WT201,1,f40fd8b4fcf715c1e2d89653183f6f46,,,
24e12471512345f4,WT201-141,24e12471512345f4,test,ClassC-OTAA,WT201,1,24913122f83cd10d6686676159af8da5,,,
24e12471512345f5,WT201-142,24e12471512345f5,test,ClassC-OTAA,WT201,1,8f3e8a215aee7e539366be3129316521,,,
24e12471512345f6,WT201-143,24e12471512345f6,test,ClassC-OTAA,WT201,1,70e3f2c9ea0b6abcfbb614110747aed8,,,
24e12471512345f7,WT201-144,24e12471512345f7,test,ClassC-OTAA,WT201,1,2e84184d9e31c09cef10bcde8769cf24,,,
24e12471512345f8,WT201-145,24e12471512345f8,test,ClassC-OTAA,WT201,1,6bd398b53fa5186803ea5958f6abb173,,,
24e12471512345f9,WT201-146,24e12471512345f9,test,ClassC-OTAA,WT201,1,5466a63bd32bfd8d4e83133275bfa5a7,,,
24e12471512345fa,WT201-147,24e12471512345fa,test,ClassC-OTAA,WT201,1,c4f607ad6dea2c8216803f04149efbfd,,,
24e12471512345fb,WT201-148,24e12471512345fb,test,ClassC-OTAA,WT201,1,d7801207c4d67925f19420cb54a2d117,,,
24e12471512345fc,WT201-149,24e12471512345fc,test,ClassC-OTAA,WT201,1,dcee5abee6a2764730648b5d2aa34d2c,,,
24e12471512345fd,WT201-150,24e12471512345fd,test,ClassC-OTAA,WT201,1,dd650cf068a203c327f175e39fbb7dd4,,,
24e12471512345fe,WT201-151,24e12471512345fe,test,ClassC-OTAA,WT201,1,2a8e283d2519c0fb4d285f8395b03390,,,
24e12471512345ff,WT201-152,24e12471512345ff,test,ClassC-OTAA,WT201,1,5daf0b889041fa4571506dbc2ff2b5ca,,,
24e1247151234600,WT201-153,24e1247151234600,test,ClassC-OTAA,WT201,1,1a78e766b775d949ea3f8d27782ebd68,,,
24e1247151234601,WT201-154,24e1247151234601,test,ClassC-OTAA,WT201,1,629ffa23662a9ef8c7d8a72fda1bb8af,,,
24e1247151234602,WT201-155,24e1247151234602,test,ClassC-OTAA,WT201,1,10ace4cb55effba0eca9422d360a6e65,,,
24e1247151234603,WT201-156,24e1247151234603,test,ClassC-OTAA,WT201,1,69177b367331f93e32b55a548e630a88,,,
24e1247151234604,WT201-157,24e1247151234604,test,ClassC-OTAA,WT201,1,8f4f90db411a5977f1cf024c1e170f26,,,
24e1247151234605,WT201-158,24e1247151234605,test,ClassC-OTAA,WT201,1,939954de6316976d5995a636e9e626d8,,,
24e1247151234606,WT201-159,24e1247151234606,test,ClassC-OTAA,WT201,1,86c0a64c899a2ca4f4b9a3009f540fac,,,
24e1247151234607,WT201-160,24e1247151234607,test,ClassC-OTAA,WT201,1,6b7de07b19aeb3e4ffe3b290e8bbcdc3,,,
24e1247151234608,WT201-161,24e1247151234608,test,ClassC-OTAA,WT201,1,2a5ca316e9016719477e1d966a4f6144,,,
24e1247151234609,WT201-162,24e1247151234609,test,ClassC-OTAA,WT201,1,2ece06561e2747861f60bef8e1ffbce7,,,
24e124715123460a,WT201-163,24e124715123460a,test,ClassC-OTAA,WT201,1,dea1d255690564f953bae638216ac9f0,,,
24e124715123460b,WT201-164,24e124715123460b,test,ClassC-OTAA,WT201,1,91472709fe683404f23e16cacf37ceb9,,,
24e124715123460c,WT201-165,24e124715123460c,test,ClassC-OTAA,WT201,1,bdfab2ed595ba546095c901e9faac73d,,,
24e124715123460d,WT201-166,24e124715123460d,test,ClassC-OTAA,WT201,1,ff3fa3430781ca36d1690a01358a9e39,,,
24e124715123460e,WT201-167,24e124715123460e,test,ClassC-OTAA,WT201,1,cebb9f9f0617e895b767bf04a1a76338,,,
24e124715123460f,WT201-168,24e124715123460f,test,ClassC-OTAA,WT201,1,ceafe92f6696396fec6ff69f4c2b343e,,,
24e1247151234610,WT201-169,24e1247151234610,test,ClassC-OTAA,WT201,1,e9e0757b12f41a3ef0621cd830a8fa22,,,
24e1247151234611,WT201-170,24e1247151234611,test,ClassC-OTAA,WT201,1,1c6c7785d65ab45b5d46088b72636099,,,
24e1247151234612,WT201-171,24e1247151234612,test,ClassC-OTAA,WT201,1,dc914ccc72945dbc2469c3bf2d36c009,,,
24e1247151234613,WT201-172,24e1247151234613,test,ClassC-OTAA,WT201,1,8803b86dc2e4d9bd3b726efc88ab780a,,,
24e1247151234614,WT201-173,24e1247151234614,test,ClassC-OTAA,WT201,1,3ef75b2b60fb076ec43bc17ec30bbd4a,,,
24e1247151234615,WT201-174,24e1247151234615,test,ClassC-OTAA,WT201,1,7090f132ed86733ab1d4cff88cd2b2e5,,,
24e1247151234616,WT201-175,24e1247151234616,test,ClassC-OTAA,WT201,1,644ebcca396f824a7c50b17ed8b5511e,,,
24e1247151234617,WT201-176,24e1247151234617,test,ClassC-OTAA,WT201,1,a05b1954c4f30102bda56aaede9dad0d,,,
24e1247151234618,WT201-177,24e1247151234618,test,ClassC-OTAA,WT201,1,a6d2c8020df007a4805687f52e08cd68,,,
24e1247151234619,WT201-178,24e1247151234619,test,ClassC-OTAA,WT201,1,14e3098be65d60bfdebdbcdb8c27fe84,,,
24e124715123461a,WT201-179,24e124715123461a,test,ClassC-OTAA,WT201,1,8ed1ae4f79675c50ac29a8b72b8216f0,,,
24e124715123461b,WT201-180,24e124715123461b,test,ClassC-OTAA,WT201,1,9cc2dbf9c42c79f04fdbdac16777222d,,,
24e124715123461c,WT201-181,24e124715123461c,test,ClassC-OTAA,WT201,1,04710eaab229218900d1a3c626959663,,,
24e124715123461d,WT201-182,24e124715123461d,test,ClassC-OTAA,WT201,1,ae39afcb0489fa0f25ad8142f09f1417,,,
24e124715123461e,WT201-183,24e124715123461e,test,ClassC-OTAA,WT201,1,b1e3390ab7c41ee1112bcf8d851f4651,,,
24e124715123461f,WT201-184,24e124715123461f,test,ClassC-OTAA,WT201,1,01847955899f4f032a64d20065befb4a,,,
24e1247151234620,WT201-185,24e1247151234620,test,ClassC-OTAA,WT201,1,4e3a309ff4674252296e0f3db26bcfba,,,
24e1247151234621,WT201-186,24e1247151234621,test,ClassC-OTAA,WT201,1,7b6627d7754e11ec2788bb2e60236556,,,
24e1247151234622,WT201-187,24e1247151234622,test,ClassC-OTAA,WT201,1,09752b9ab9bc3befa1af5cca5d416aac,,,
24e1247151234623,WT201-188,24e1247151234623,test,ClassC-OTAA,WT201,1,497f3f9630b5f22667549a7217b9a670,,,
24e1247151234624,WT201-189,24e1247151234624,test,ClassC-OTAA,WT201,1,d64136058c3a88b5c18981a2a2430698,,,
24e1247151234625,WT201-190,24e1247151234625,test,ClassC-OTAA,WT201,1,ac646724ea6ed127cbcd2a8bca60655b,,,
24e1247151234626,WT201-191,24e1247151234626,test,ClassC-OTAA,WT201,1,d26471b37fc2d5f891927c461075a851,,,
24e1247151234627,WT201-192,24e1247151234627,test,ClassC-OTAA,WT201,1,46d7e9682d6a702ab35d4bf572e0eecf,,,
24e1247151234628,WT201-193,24e1247151234628,test,ClassC-OTAA,WT201,1,866db1164b597556d79ac0b429b61b6b,,,
24e1247151234629,WT201-194,24e1247151234629,test,ClassC-OTAA,WT201,1,50f089dbbe0fc6dda58b92ad8a40e4c3,,,
24e124715123462a,WT201-195,24e124715123462a,test,ClassC-OTAA,WT201,1,d71246dad7d186b2063bbafdb4e36b0e,,,
24e124715123462b,WT201-196,24e124715123462b,test,ClassC-OTAA,WT201,1,e24490191115d6c3bff0268ecdf21234,,,
24e124715123462c,WT201-197,24e124715123462c,test,ClassC-OTAA,WT201,1,dae4c2f0c8a44d567ad81366c453a2be,,,
24e124715123462d,WT201-198,24e124715123462d,test,ClassC-OTAA,WT201,1,de2c26f0264444f64659593d5a091abc,,,
24e124715123462e,WT201-199,24e124715123462e,test,ClassC-OTAA,WT201,1,ad12cea82359d99bc65a3bc6c61dc58e,,,
24e124715123462f,WT201-200,24e124715123462f,test,ClassC-OTAA,WT201,1,c6aeae8d6467e8676567e66e6ca9425d,,,
24e1247151234630,WT201-201,24e1247151234630,test,ClassC-OTAA,WT201,1,63ea527b2da832984bba667d29440768,,,
24e1247151234631,WT201-202,24e1247151234631,test,ClassC-OTAA,WT201,1,3a0b3caecebc595d6878e4b6c1d866d2,,,
24e1247151234632,WT201-203,24e1247151234632,test,ClassC-OTAA,WT201,1,4970936e22576429be80f0516e471e66,,,
24e1247151234633,WT201-204,24e1247151234633,test,ClassC-OTAA,WT201,1,ec8d4d995403de4908bd4c12a5c3802e,,,
24e1247151234634,WT201-205,24e1247151234634,test,ClassC-OTAA,WT201,1,acaa97f5f6eef778063c5c82cca00b32,,,
24e1247151234635,WT201-206,24e1247151234635,test,ClassC-OTAA,WT201,1,244a2ab0c413b635e7d954568f4b64b2,,,
24e1247151234636,WT201-207,24e1247151234636,test,ClassC-OTAA,WT201,1,3056e89669bcb6fb098dff49dfee9c1e,,,
24e1247151234637,WT201-208,24e1247151234637,test,ClassC-OTAA,WT201,1,072efb3e3efb28641c9780aac889665b,,,
24e1247151234638,WT201-209,24e1247151234638,test,ClassC-OTAA,WT201,1,c8d6f1353bbfcc73a01c9d6fe6f8d43d,,,
24e1247151234639,WT201-210,24e1247151234639,test,ClassC-OTAA,WT201,1,74d8b0c805d7c25719cfd70263ee8094,,,
24e124715123463a,WT201-211,24e124715123463a,test,ClassC-OTAA,WT201,1,0799c885f0f49d1101cc9ac81e1526a8,,,
