deveui,name,description,deviceprofile,payloadcodec,fport,appkey,devaddr,nwkskey,appskey
24e124136c1919e3,24e124136c1919e3,24e124136c1919e3,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919e4,24e124136c1919e4,24e124136c1919e4,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919e5,24e124136c1919e5,24e124136c1919e5,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919e6,24e124136c1919e6,24e124136c1919e6,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919e7,24e124136c1919e7,24e124136c1919e7,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919e8,24e124136c1919e8,24e124136c1919e8,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919e9,24e124136c1919e9,24e124136c1919e9,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919ea,24e124136c1919ea,24e124136c1919ea,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919eb,24e124136c1919eb,24e124136c1919eb,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919ec,24e124136c1919ec,24e124136c1919ec,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919ed,24e124136c1919ed,24e124136c1919ed,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919ee,24e124136c1919ee,24e124136c1919ee,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919ef,24e124136c1919ef,24e124136c1919ef,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919f0,24e124136c1919f0,24e124136c1919f0,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919f1,24e124136c1919f1,24e124136c1919f1,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919f2,24e124136c1919f2,24e124136c1919f2,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919f3,24e124136c1919f3,24e124136c1919f3,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919f4,24e124136c1919f4,24e124136c1919f4,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919f5,24e124136c1919f5,24e124136c1919f5,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919f6,24e124136c1919f6,24e124136c1919f6,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919f7,24e124136c1919f7,24e124136c1919f7,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919f8,24e124136c1919f8,24e124136c1919f8,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919f9,24e124136c1919f9,24e124136c1919f9,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919fa,24e124136c1919fa,24e124136c1919fa,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919fb,24e124136c1919fb,24e124136c1919fb,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919fc,24e124136c1919fc,24e124136c1919fc,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
