deveui,name,description,application,deviceprofile,payloadcodec,fport,appkey,devaddr,nwkskey,appskey
24e1247151234577,WT201-16,24e1247151234577,test,ClassC-OTAA,WT201,1,828472d8a49e3de6db9f1d5252d3dd2f,,,
24e1247151234578,WT201-17,24e1247151234578,test,ClassC-OTAA,WT201,1,7d052765e9de5e7ee94fa24685f4a338,,,
24e1247151234579,WT201-18,24e1247151234579,test,ClassC-OTAA,WT201,1,255fab4f29b5a584ea26bdfd9ad58971,,,
24e124715123457a,WT201-19,24e124715123457a,test,ClassC-OTAA,WT201,1,7264f8f54267d00fda94900d9218c7be,,,
24e124715123457b,WT201-20,24e124715123457b,test,ClassC-OTAA,WT201,1,ec89655efa535131541ca470ddc2328e,,,
24e124715123457c,WT201-21,24e124715123457c,test,ClassC-OTAA,WT201,1,fbf9dd5e757ee5d1c257c0849f07875a,,,
24e124715123457d,WT201-22,24e124715123457d,test,ClassC-OTAA,WT201,1,ee8bb9c367e83aed27cfe81a9d2b0148,,,
24e124715123457e,WT201-23,24e124715123457e,test,ClassC-OTAA,WT201,1,cd47ba15f4253eebeb26533887ded04a,,,
24e124715123457f,WT201-24,24e124715123457f,test,ClassC-OTAA,WT201,1,ebb3fa264fae48c93397a832be2da6be,,,
24e1247151234580,WT201-25,24e1247151234580,test,ClassC-OTAA,WT201,1,3150fefd4072ea4d79a87b84f9289908,,,
24e1247151234581,WT201-26,24e1247151234581,test,ClassC-OTAA,WT201,1,f25c78b395f9ee43dd538f048c0e84e2,,,
24e1247151234582,WT201-27,24e1247151234582,test,ClassC-OTAA,WT201,1,3ae7fa9f44bc54713bfdcf478ed1a5d2,,,
24e1247151234583,WT201-28,24e1247151234583,test,ClassC-OTAA,WT201,1,6ed863aa339c4bff91675160dcf8f2c7,,,
24e1247151234584,WT201-29,24e1247151234584,test,ClassC-OTAA,WT201,1,0c0992a635c952df9fdedcc6d568e63f,,,
24e1247151234585,WT201-30,24e1247151234585,test,ClassC-OTAA,WT201,1,4463adb686a32e444a11ffe17d41ccff,,,
24e1247151234586,WT201-31,24e1247151234586,test,ClassC-OTAA,WT201,1,56b48514ef9f082aa5167169adf55314,,,
24e1247151234587,WT201-32,24e1247151234587,test,ClassC-OTAA,WT201,1,f35877c237ddb029a420bf9a8e19c70e,,,
24e1247151234588,WT201-33,24e1247151234588,test,ClassC-OTAA,WT201,1,d7c456ed2304351d270040f9268be03f,,,
24e1247151234589,WT201-34,24e1247151234589,test,ClassC-OTAA,WT201,1,707ab4dc81f11c97039a9fe435f44242,,,
24e124715123458a,WT201-35,24e124715123458a,test,ClassC-OTAA,WT201,1,eaca9257c437156f2065824b852c7e50,,,
24e124715123458b,WT201-36,24e124715123458b,test,ClassC-OTAA,WT201,1,96131197da7d313669facfea15b51b10,,,
24e124715123458c,WT201-37,24e124715123458c,test,ClassC-OTAA,WT201,1,c370f406f48e0bf89dbd99560367e26d,,,
24e124715123458d,WT201-38,24e124715123458d,test,ClassC-OTAA,WT201,1,c6344f7b6712a770d819c6048f584a38,,,
24e124715123458e,WT201-39,24e124715123458e,test,ClassC-OTAA,WT201,1,7d1b0d3545e03f3822ca40715cdef48c,,,
24e124715123458f,WT201-40,24e124715123458f,test,ClassC-OTAA,WT201,1,c2ecf425c5952ecf89b9834f431f95af,,,
24e1247151234590,WT201-41,24e1247151234590,test,ClassC-OTAA,WT201,1,6354bdd77e3d612e12f98cf94d5fbe0a,,,
24e1247151234591,WT201-42,24e1247151234591,test,ClassC-OTAA,WT201,1,2ab165e4e123b0d8ec68c570fc106d49,,,
24e1247151234592,WT201-43,24e1247151234592,test,ClassC-OTAA,WT201,1,9db0927f049651619c381259fb7229c9,,,
24e1247151234593,WT201-44,24e1247151234593,test,ClassC-OTAA,WT201,1,8094d2c8660150e9ff4dfc8d3674b7f0,,,
24e1247151234594,WT201-45,24e1247151234594,test,ClassC-OTAA,WT201,1,34cb9e30aad8fbecc6c78ca0e1268d39,,,
24e1247151234595,WT201-46,24e1247151234595,test,ClassC-OTAA,WT201,1,c59475d06293c7e0ab1411bd2d41be91,,,
24e1247151234596,WT201-47,24e1247151234596,test,ClassC-OTAA,WT201,1,54664f1405e159e55d55891a21838b41,,,
24e1247151234597,WT201-48,24e1247151234597,test,ClassC-OTAA,WT201,1,03cad6e88e498f38faecc9c3f8a9e496,,,
24e1247151234598,WT201-49,24e1247151234598,test,ClassC-OTAA,WT201,1,84ba5c62163fa5b324cebabe93c537da,,,
24e1247151234599,WT201-50,24e1247151234599,test,ClassC-OTAA,WT201,1,6227cbd659f97db3c052baedb160a493,,,
